"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\get_accepted_driver_page.dart", "Dart", 0, 0, 0, 0, 0, 1078, 0, 0, 0, 0, 41, 41, 1160
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\get_bookingpage.dart", "Dart", 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 406, 26, 749
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\passenger_upcoming_booking.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 373, 14, 387
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings_by_location_page.dart", "Dart", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 318, 46, 654
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\display_driver_by_vehicle_page.dart", "Dart", 0, 0, 0, 0, 0, 515, 0, 0, 0, 0, 21, 19, 555
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_main_pages.dart\driver_bookingpage.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 5, 38
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_main_pages.dart\driver_history_page.dart", "Dart", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 5, 148
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_main_pages.dart\driver_homepage.dart", "Dart", 0, 0, 0, 0, 0, 626, 0, 0, 0, 0, 12, 20, 658
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_main_pages.dart\driver_profilepage.dart", "Dart", 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 13, 16, 362
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_main_pages.dart\driver_searchpage.dart", "Dart", 0, 0, 0, 0, 0, 674, 0, 0, 0, 0, 164, 37, 875
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_mainpage.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 55, 11, 128
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\driver_status_card.dart", "Dart", 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 10, 4, 247
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\main_pages\bookingpage.dart", "Dart", 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 75, 21, 420
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\main_pages\homepage.dart", "Dart", 0, 0, 0, 0, 0, 982, 0, 0, 0, 0, 2470, 104, 3556
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\main_pages\profilepage.dart", "Dart", 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 94, 15, 320
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\main_pages\searchpage.dart", "Dart", 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 593, 47, 1022
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\mainpage.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 7, 76
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\payment\khalti_payment_screen.dart", "Dart", 0, 0, 0, 0, 0, 531, 0, 0, 0, 0, 18, 40, 589
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\profile\passenger_profile_page.dart", "Dart", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 1, 7, 133
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\splash_screen\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 6, 10, 100
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\vehicles\add_vehicle_page.dart", "Dart", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 20, 14, 298
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\welcome.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\routes\app_pages.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 5, 5, 90
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\routes\app_routes.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 2, 27
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\custom_input.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\map_debugger.dart", "Dart", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 4, 8, 138
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\widgets\location_map_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 3, 79
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\widgets\pokhara_map_widget.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 2, 5, 78
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\my_application.cc", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
