Date : 2025-04-27 13:37:05
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\frontend
Total : 154 files,  16668 codes, 7105 comments, 1971 blanks, all 25744 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\settings.gradle                                        | Gradle          |         21 |          2 |          5 |         28 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\RunnerTests\RunnerTests.swift                              | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\AppDelegate.swift                                   | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json    | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json  | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md      | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Base.lproj\LaunchScreen.storyboard                  | XML             |         36 |          1 |          1 |         38 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Base.lproj\Main.storyboard                          | XML             |         25 |          1 |          1 |         27 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\ios\Runner\Runner-Bridging-Header.h                            | C++             |          1 |          0 |          1 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\accept_bboking_binding.dart                       | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\add_vehicle_binding.dart                          | Dart            |         10 |          0 |          1 |         11 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\change_password.dart                              | Dart            |          8 |          1 |          2 |         11 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\create_booking_binding.dart                       | Dart            |          8 |          0 |          1 |          9 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\display_driver_by_vehicle_type.dart               | Dart            |          8 |          0 |          1 |          9 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\display_vehicle_type_binding.dart                 | Dart            |          8 |          0 |          1 |          9 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_home_page_bindings.dart                    | Dart            |         42 |         15 |          7 |         64 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_login_binding.dart                         | Dart            |          8 |          0 |          1 |          9 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_main_binding.dart                          | Dart            |          8 |          4 |          1 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_profile_binding.dart                       | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\driver_signup_binding.dart                        | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\get_accpeted_driver_binding.dart                  | Dart            |         14 |          0 |          5 |         19 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\get_booking_binding.dart                          | Dart            |         10 |          0 |          2 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\khalti_payment_binding.dart                       | Dart            |          8 |          9 |          6 |         23 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\main_bindings.dart                                | Dart            |          8 |          4 |          2 |         14 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_login_binding.dart                      | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_otp_binding.dart                        | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_profile_binding.dart                    | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_signup_binding.dart                     | Dart            |          8 |          0 |          2 |         10 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_upcoming_booking_binding.dart           | Dart            |         10 |          0 |          1 |         11 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\bindings\passenger_upcoming_bookings_binding.dart          | Dart            |         10 |          0 |          1 |         11 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\constants\api_constants.dart                               | Dart            |          3 |          1 |          0 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\constants\constant.dart                                    | Dart            |          1 |          0 |          1 |          2 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\accept_booking_controller.dart                 | Dart            |         73 |          6 |          8 |         87 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\add_vehicle_controller.dart                    | Dart            |        284 |         18 |         36 |        338 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\auth_controller.dart                           | Dart            |          9 |          3 |          3 |         15 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\change_password.dart                           | Dart            |         63 |          8 |          9 |         80 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\create_booking_controller.dart                 | Dart            |        417 |         48 |         60 |        525 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\display_driver_by_vehicle_type_controller.dart | Dart            |         73 |          8 |         14 |         95 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\display_vehicle_type_controller.dart           | Dart            |         42 |         63 |         20 |        125 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\controllers\driver_home_page_controller.dart               | Dart            |        326 |         48 |         64 |        438 |
