"filename", "language", "Python", "Properties", "MS SQL", "pip requirements", "Batch", "PowerShell", "CSS", "JavaScript", "HTML", "SCSS", "XML", "Markdown", "reStructuredText", "YAML", "JSON", "Ruby", "TypeScript", "Less", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\_typing.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 54
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\_util.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\_version.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\_webp.pyi", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\features.py", "Python", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65, 358
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PIL\report.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\PyJWT-2.10.1.dist-info\AUTHORS.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\compat.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
